"","Fiscal.Year","SinceFirstFiscalYear","ServicesCategory.sum","SubCustomer.component","USDATL","Obligation.2014"
"1",2007-09-30,0.747945205479452,"Products (All)","Army","YOUNG",1.74122619905713
"2",2007-09-30,0.747945205479452,"Products (All)","Navy","YOUNG",1.06908728021102
"3",2007-09-30,0.747945205479452,"Products (All)","Air Force","YOUNG",0.937994770591537
"4",2007-09-30,0.747945205479452,"Products (All)","DLA","YOUNG",0.604611773812998
"5",2007-09-30,0.747945205479452,"Products (All)","MDA","YOUNG",0.000226945785161073
"6",2007-09-30,0.747945205479452,"Products (All)","Additional
DoD
Components","YOUNG",0.0560952463014929
"7",2007-09-30,0.747945205479452,"R&D","Army","YOUNG",0.087428738893254
"8",2007-09-30,0.747945205479452,"R&D","Navy","YOUNG",0.0434422692221349
"9",2007-09-30,0.747945205479452,"R&D","Air Force","YOUNG",0.0399896596138736
"10",2007-09-30,0.747945205479452,"R&D","DLA","YOUNG",0.000394202738803457
"11",2007-09-30,0.747945205479452,"R&D","MDA","YOUNG",0.00112227522729824
"12",2007-09-30,0.747945205479452,"R&D","Additional
DoD
Components","YOUNG",0.0316207161297564
"13",2007-09-30,0.747945205479452,"Services (Non-R&D)","Army","YOUNG",0.965416843113705
"14",2007-09-30,0.747945205479452,"Services (Non-R&D)","Navy","YOUNG",0.361846441598384
"15",2007-09-30,0.747945205479452,"Services (Non-R&D)","Air Force","YOUNG",0.324344599685711
"16",2007-09-30,0.747945205479452,"Services (Non-R&D)","DLA","YOUNG",0.0249683429116624
"17",2007-09-30,0.747945205479452,"Services (Non-R&D)","Military
Health","YOUNG",3.6641598383657e-05
"18",2007-09-30,0.747945205479452,"Services (Non-R&D)","Additional
DoD
Components","YOUNG",0.0708568726680884
"19",2007-09-30,0.832876712328767,"Products (All)","Army","YOUNG",3.7103262680211
"20",2007-09-30,0.832876712328767,"Products (All)","Navy","YOUNG",1.93948005831182
"21",2007-09-30,0.832876712328767,"Products (All)","Air Force","YOUNG",1.18351110233472
"22",2007-09-30,0.832876712328767,"Products (All)","DLA","YOUNG",3.01275572059715
"23",2007-09-30,0.832876712328767,"Products (All)","MDA","YOUNG",0.000361050622965541
"24",2007-09-30,0.832876712328767,"Products (All)","Military
Health","YOUNG",7.73301717364463e-05
"25",2007-09-30,0.832876712328767,"Products (All)","Additional
DoD
Components","YOUNG",0.263198707621506
"26",2007-09-30,0.832876712328767,"R&D","Army","YOUNG",0.191723656527107
"27",2007-09-30,0.832876712328767,"R&D","Navy","YOUNG",0.192713375945673
"28",2007-09-30,0.832876712328767,"R&D","Air Force","YOUNG",0.203527796048939
"29",2007-09-30,0.832876712328767,"R&D","DLA","YOUNG",0.00222323425749242
"30",2007-09-30,0.832876712328767,"R&D","MDA","YOUNG",0.00859286227410484
"31",2007-09-30,0.832876712328767,"R&D","Additional
DoD
Components","YOUNG",0.0552444695476484
"32",2007-09-30,0.832876712328767,"Services (Non-R&D)","Army","YOUNG",2.32766064194635
"33",2007-09-30,0.832876712328767,"Services (Non-R&D)","Navy","YOUNG",1.4186951506095
"34",2007-09-30,0.832876712328767,"Services (Non-R&D)","Air Force","YOUNG",1.02740338086205
"35",2007-09-30,0.832876712328767,"Services (Non-R&D)","DLA","YOUNG",0.0418199742619823
"36",2007-09-30,0.832876712328767,"Services (Non-R&D)","MDA","YOUNG",0.00227188236614659
"37",2007-09-30,0.832876712328767,"Services (Non-R&D)","Military
Health","YOUNG",1.18754517903244e-05
"38",2007-09-30,0.832876712328767,"Services (Non-R&D)","Additional
DoD
Components","YOUNG",0.39592521672466
"39",2007-09-30,0.917808219178082,"Products (All)","Army","YOUNG",6.43041945635874
"40",2007-09-30,0.917808219178082,"Products (All)","Navy","YOUNG",2.91532327352116
"41",2007-09-30,0.917808219178082,"Products (All)","Air Force","YOUNG",2.7660910510046
"42",2007-09-30,0.917808219178082,"Products (All)","DLA","YOUNG",2.72404514670558
"43",2007-09-30,0.917808219178082,"Products (All)","MDA","YOUNG",0.00105670445616792
"44",2007-09-30,0.917808219178082,"Products (All)","Military
Health","YOUNG",0.000238316309350095
"45",2007-09-30,0.917808219178082,"Products (All)","Additional
DoD
Components","YOUNG",0.380431347962734
"46",2007-09-30,0.917808219178082,"R&D","Army","YOUNG",0.563300176114042
"47",2007-09-30,0.917808219178082,"R&D","Navy","YOUNG",0.341519127040072
"48",2007-09-30,0.917808219178082,"R&D","Air Force","YOUNG",0.351464886305983
"49",2007-09-30,0.917808219178082,"R&D","DLA","YOUNG",0.00158522310023572
"50",2007-09-30,0.917808219178082,"R&D","MDA","YOUNG",0.0143923403300034
"51",2007-09-30,0.917808219178082,"R&D","Additional
DoD
Components","YOUNG",0.106572198159165
"52",2007-09-30,0.917808219178082,"Services (Non-R&D)","Army","YOUNG",8.99933170097654
"53",2007-09-30,0.917808219178082,"Services (Non-R&D)","Navy","YOUNG",5.05950757446402
"54",2007-09-30,0.917808219178082,"Services (Non-R&D)","Air Force","YOUNG",3.71348410003367
"55",2007-09-30,0.917808219178082,"Services (Non-R&D)","DLA","YOUNG",0.261252600606129
"56",2007-09-30,0.917808219178082,"Services (Non-R&D)","MDA","YOUNG",0.00412912805028623
"57",2007-09-30,0.917808219178082,"Services (Non-R&D)","Military
Health","YOUNG",0.000807276383432484
"58",2007-09-30,0.917808219178082,"Services (Non-R&D)","Additional
DoD
Components","YOUNG",0.564981457054664
"59",2007-09-30,0.917808219178082,"Unlabeled","Navy","YOUNG",1.19616343023908e-05
"60",2008-09-30,1,"Products (All)","Army","YOUNG",1.70840731732104
"61",2008-09-30,1,"Products (All)","Navy","YOUNG",2.88604091507592
"62",2008-09-30,1,"Products (All)","Air Force","YOUNG",0.667804440976139
"63",2008-09-30,1,"Products (All)","DLA","YOUNG",3.36001777523861
