"","SignedMonth","ServicesCategory.sum","SubCustomer.component","ATLpolicy","Obligation.2014","MovingAverage"
"1",2007-07-01,"Products (All)","Army","YOUNG",1.74122619905713,NA
"2",2007-08-01,"Products (All)","Army","YOUNG",3.7103262680211,NA
"3",2007-09-01,"Products (All)","Army","YOUNG",6.43041945635874,3.96065730781232
"4",2007-10-01,"Products (All)","Army","YOUNG",1.70840731732104,3.94971768056696
"5",2007-11-01,"Products (All)","Army","YOUNG",2.64585472603037,3.59489383323672
"6",2007-12-01,"Products (All)","Army","YOUNG",7.29667147781996,3.88364450705712
"7",2008-01-01,"Products (All)","Army","YOUNG",2.97619936663774,4.30624185682936
"8",2008-02-01,"Products (All)","Army","YOUNG",3.90568412408894,4.72618498951554
"9",2008-03-01,"Products (All)","Army","YOUNG",4.42706737798265,3.76965028956978
"10",2008-04-01,"Products (All)","Army","YOUNG",3.13796408545553,3.82357186250904
"11",2008-05-01,"Products (All)","Army","YOUNG",5.53504371011931,4.36669172451916
"12",2008-06-01,"Products (All)","Army","YOUNG",2.84008512541215,3.83769764032899
"13",2008-07-01,"Products (All)","Army","YOUNG",5.45831472816703,4.61114785456616
"14",2008-08-01,"Products (All)","Army","YOUNG",6.31549015190889,4.87129666849602
"15",2008-09-01,"Products (All)","Army","YOUNG",12.986568377115,8.25345775239696
"16",2008-10-01,"Products (All)","Army","YOUNG",2.97914389744534,7.42706747548973
"17",2008-11-01,"Products (All)","Army","YOUNG",1.82859914581078,5.93143714012369
"18",2008-12-01,"Products (All)","Army","YOUNG",7.63771842641264,4.14848715655625
"19",2009-01-01,"Products (All)","Army","YOUNG",2.87182992295952,4.11271583172765
"20",2009-02-01,"Products (All)","Army","YOUNG",2.79985978930504,4.43646937955907
"21",2009-03-01,"Products (All)","Army","YOUNG",4.67190617057805,3.44786529428087
"22",2009-04-01,"Products (All)","Army","YOUNG",3.12228232851267,3.53134942946525
"23",2009-05-01,"Products (All)","Army","YOUNG",1.21234439654687,3.00217763187919
"24",2009-06-01,"Products (All)","Army","YOUNG",0.43534139478242,1.58998937328065
"25",2009-07-01,"Products (All)","Army","YOUNG",1.19948771870535,0.949057836678213
"26",2009-08-01,"Products (All)","Army","YOUNG",0.793974038568954,0.809601050685574
"27",2009-09-01,"Products (All)","Army","YOUNG",1.4403145978675,1.1445921183806
"28",2009-10-01,"Products (All)","Army","YOUNG",0.395606037323492,0.876631557919983
"29",2009-11-01,"Products (All)","Army","YOUNG",0.332114096106119,0.722678243765705
"30",2009-12-01,"Products (All)","Army","YOUNG",1.78296136944801,0.83689383429254
"31",2010-01-01,"Products (All)","Army","YOUNG",2.06492581401369,1.39333375985594
"32",2010-02-01,"Products (All)","Army","YOUNG",0.635477158846812,1.4944547807695
"33",2010-03-01,"Products (All)","Army","YOUNG",0.993014263446727,1.23113907876908
"34",2010-04-01,"Products (All)","Army","YOUNG",0.42000646199187,0.682832628095136
"35",2010-05-01,"Products (All)","Army","YOUNG",0.379642055723149,0.597554260387249
"36",2010-06-01,"Products (All)","Army","YOUNG",0.3894862686457,0.39637826212024
"37",2010-07-01,"Products (All)","Army","YOUNG",0.38714304440522,0.385423789591356
"38",2010-08-01,"Products (All)","Army","YOUNG",0.745053693763372,0.507227668938097
"39",2010-09-01,"Products (All)","Army","YOUNG",1.1129626356012,0.748386457923263
"40",2010-10-01,"Products (All)","Army","YOUNG",0.133702832532522,0.663906387299031
"41",2010-11-01,"Products (All)","Army","YOUNG",1.5849046868653,0.943856718333005
"42",2010-12-01,"Products (All)","Army","YOUNG",0.768772620331515,0.829126713243111
"43",2011-01-01,"Products (All)","Army","YOUNG",1.56782878336131,1.30716869685271
"44",2011-02-01,"Products (All)","Army","YOUNG",0.330097944869912,0.888899782854245
"45",2011-03-01,"Products (All)","Army","YOUNG",0.920907981924045,0.939611570051755
"46",2011-04-01,"Products (All)","Army","YOUNG",0.266005694513219,0.505670540435725
"47",2011-05-01,"Products (All)","Army","YOUNG",0.241542924559379,0.476152200332214
"48",2011-06-01,"Products (All)","Army","YOUNG",0.868450328126311,0.45866631573297
"49",2011-07-01,"Products (All)","Army","YOUNG",0.354827056787663,0.488273436491118
"50",2011-08-01,"Products (All)","Army","YOUNG",0.412536146590432,0.545271177168135
"51",2011-09-01,"Products (All)","Army","YOUNG",0.808174832731851,0.525179345369982
"52",2011-10-01,"Products (All)","Army","YOUNG",0.307908108299866,0.50953969587405
"53",2011-11-01,"Products (All)","Army","YOUNG",0.134358872062609,0.416813937698109
"54",2011-12-01,"Products (All)","Army","YOUNG",0.576478210853671,0.339581730405382
"55",2012-01-01,"Products (All)","Army","YOUNG",0.723389610503553,0.478075564473278
"56",2012-02-01,"Products (All)","Army","YOUNG",0.0991740274739986,0.466347282943741
"57",2012-03-01,"Products (All)","Army","YOUNG",0.40879917442076,0.410454270799437
"58",2012-04-01,"Products (All)","Army","YOUNG",0.219899265863454,0.242624155919404
"59",2012-05-01,"Products (All)","Army","YOUNG",0.0783694137164041,0.235689284666873
"60",2012-06-01,"Products (All)","Army","YOUNG",0.599413886283596,0.299227521954485
"61",2012-07-01,"Products (All)","Army","YOUNG",-0.0931051729585007,0.194892709013833
"62",2012-08-01,"Products (All)","Army","YOUNG",0.132100547049737,0.212803086791611
"63",2012-09-01,"Products (All)","Army","YOUNG",0.276539736710946,0.105178370267394
"64",2012-10-01,"Products (All)","Army","YOUNG",0.00276809426952371,0.137136126010069
"65",2012-11-01,"Products (All)","Army","YOUNG",0.0742686922752107,0.117858841085227
"66",2012-12-01,"Products (All)","Army","YOUNG",0.215847681680004,0.0976281560749128
"67",2013-01-01,"Products (All)","Army","YOUNG",0.0127010595478826,0.100939144501032
"68",2013-02-01,"Products (All)","Army","YOUNG",0.00993576027155479,0.0794948338331471
"69",2013-03-01,"Products (All)","Army","YOUNG",0.00664222603919976,0.00975968195287905
"70",2013-04-01,"Products (All)","Army","YOUNG",0.0434771276047527,0.0200183713051691
