"","SignedMonth","ServicesCategory.sum","SubCustomer.component","USDATL","Obligation.2014","MovingAverage"
"1",2007-07-01,"Services (Non-R&D)","Army","YOUNG",0.965416843113705,NA
"2",2007-08-01,"Services (Non-R&D)","Army","YOUNG",2.32766064194635,NA
"3",2007-09-01,"Services (Non-R&D)","Army","YOUNG",8.99933170097654,4.09746972867886
"4",2007-10-01,"Services (Non-R&D)","Army","YOUNG",1.32803296772234,4.21834177021508
"5",2007-11-01,"Services (Non-R&D)","Army","YOUNG",1.87573305903471,4.06769924257786
"6",2007-12-01,"Services (Non-R&D)","Army","YOUNG",2.50561678855748,1.90312760510484
"7",2008-01-01,"Services (Non-R&D)","Army","YOUNG",2.29082753149675,2.22405912636298
"8",2008-02-01,"Services (Non-R&D)","Army","YOUNG",3.26437011515184,2.68693814506869
"9",2008-03-01,"Services (Non-R&D)","Army","YOUNG",3.87766763227766,3.14428842630875
"10",2008-04-01,"Services (Non-R&D)","Army","YOUNG",3.38490732505423,3.50898169082791
"11",2008-05-01,"Services (Non-R&D)","Army","YOUNG",2.62301907792842,3.29519801175343
"12",2008-06-01,"Services (Non-R&D)","Army","YOUNG",4.20417697342733,3.40403445880333
"13",2008-07-01,"Services (Non-R&D)","Army","YOUNG",3.67463766841649,3.50061123992408
"14",2008-08-01,"Services (Non-R&D)","Army","YOUNG",3.98545261578091,3.95475575254158
"15",2008-09-01,"Services (Non-R&D)","Army","YOUNG",16.1535059632429,7.93786541581345
"16",2008-10-01,"Services (Non-R&D)","Army","YOUNG",3.01975276239446,7.71957044713944
"17",2008-11-01,"Services (Non-R&D)","Army","YOUNG",3.20981727436675,7.46102533333472
"18",2008-12-01,"Services (Non-R&D)","Army","YOUNG",3.97999024374323,3.40318676016815
"19",2009-01-01,"Services (Non-R&D)","Army","YOUNG",4.6837295316627,3.95784568325756
"20",2009-02-01,"Services (Non-R&D)","Army","YOUNG",4.7016063872808,4.45510872089558
"21",2009-03-01,"Services (Non-R&D)","Army","YOUNG",4.9170906575774,4.76747552550696
"22",2009-04-01,"Services (Non-R&D)","Army","YOUNG",3.66695735006495,4.42855146497438
"23",2009-05-01,"Services (Non-R&D)","Army","YOUNG",1.90261328846071,3.49555376536768
"24",2009-06-01,"Services (Non-R&D)","Army","YOUNG",2.61246932627192,2.72734665493253
"25",2009-07-01,"Services (Non-R&D)","Army","YOUNG",1.97260917516779,2.1625639299668
"26",2009-08-01,"Services (Non-R&D)","Army","YOUNG",2.16230235006495,2.24912695050155
"27",2009-09-01,"Services (Non-R&D)","Army","YOUNG",4.08802221445118,2.74097791322797
"28",2009-10-01,"Services (Non-R&D)","Army","YOUNG",0.891932499753958,2.3807523547567
"29",2009-11-01,"Services (Non-R&D)","Army","YOUNG",1.15720648570817,2.0457203999711
